date,open,high,low,close,vol,amount
2024-01-02,58.8,58.81,57.5,57.62,57424.23,332412.514
2024-01-03,57.39,58.0,55.81,56.56,73931.42,420742.687
2024-01-04,56.5,57.05,55.5,55.89,72072.82,403959.707
2024-01-05,56.0,56.7,55.22,55.66,65363.37,366165.293
2024-01-08,55.3,56.39,54.33,54.6,89019.05,489230.249
2024-01-09,55.0,57.15,55.0,56.55,105166.99,594171.439
2024-01-10,56.06,56.66,54.33,54.94,70077.49,387947.076
2024-01-11,55.0,57.2,54.54,56.98,79789.25,447841.714
2024-01-12,56.6,57.47,55.5,55.59,48826.05,274675.412
2024-01-15,54.8,57.1,54.11,54.4,110039.74,612026.887
2024-01-16,54.37,54.49,52.82,53.68,91533.52,489938.525
2024-01-17,53.7,53.87,52.43,52.59,69045.87,367207.21
2024-01-18,52.0,54.17,51.03,54.05,112240.66,586953.428
2024-01-19,54.0,55.5,53.66,55.13,93445.51,511786.507
2024-01-22,55.15,55.48,53.11,54.09,103934.28,567719.653
2024-01-23,53.39,54.51,52.39,54.16,99038.75,532825.23
2024-01-24,54.33,54.5,50.1,51.97,132364.34,684736.426
2024-01-25,51.75,52.24,50.57,51.67,148896.23,763929.795
2024-01-26,51.0,51.0,48.51,49.8,137428.04,685099.9
2024-01-29,50.28,51.49,48.13,48.63,142389.46,699715.216
2024-01-30,48.48,49.43,47.2,47.44,121560.46,585910.37
2024-01-31,47.6,47.67,45.16,45.2,159351.42,731414.062
2024-02-01,45.24,47.29,44.85,46.77,123369.49,572810.839
2024-02-02,46.78,47.2,43.41,44.8,139054.96,626435.304
2024-02-05,44.93,45.41,42.6,44.59,167149.38,737667.794
2024-02-06,45.2,47.94,43.77,47.71,139621.6,647061.204
2024-02-07,47.85,49.17,47.07,48.7,130452.24,631641.393
2024-02-08,49.25,50.25,48.8,49.9,127587.9,632719.633
2024-02-19,51.19,52.23,50.06,51.95,147260.67,756500.613
2024-02-20,51.5,52.4,50.7,51.65,98538.81,506310.523
2024-02-21,51.02,51.79,50.67,50.79,100188.66,512841.259
2024-02-22,51.1,51.78,51.0,51.35,96024.93,493355.635
2024-02-23,51.9,52.22,50.4,51.61,106598.33,544857.503
2024-02-26,51.48,52.97,51.06,52.2,106375.61,554370.54
2024-02-27,51.71,53.68,51.42,53.41,117944.61,620761.168
2024-02-28,53.44,54.26,50.76,50.77,132445.67,694023.676
2024-02-29,50.71,52.73,50.43,52.2,162924.77,846061.774
2024-03-01,52.49,53.48,51.95,53.17,138129.35,729713.97
2024-03-04,54.3,55.42,53.44,54.85,168061.72,916415.089
2024-03-05,54.5,55.27,54.12,54.47,145782.88,797410.857
2024-03-06,54.47,54.7,52.38,52.68,131260.07,696317.349
2024-03-07,53.25,53.28,50.6,51.3,146519.54,756372.316
2024-03-08,51.48,53.2,50.8,52.36,129080.65,672521.002
